LineId,Date,Time,PID,Level,Process,Component,Content,EventId,EventTemplate
1,2015-10-17,15:38:04,081,INFO,[main],org.apache.hadoop.metrics2.impl.MetricsConfig,loaded properties from hadoop-metrics2.properties,ca7d7941,loaded properties from hadoop-metrics2.properties
2,2015-10-17,15:38:04,151,INFO,[main],org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Scheduled snapshot period at 10 second(s).,9e8ad6ab,Scheduled snapshot period at 10 second(s).
3,2015-10-17,15:38:04,151,INFO,[main],org.apache.hadoop.metrics2.impl.MetricsSystemImpl,MapTask metrics system started,01ae6026,MapTask metrics system started
4,2015-10-17,15:38:04,167,INFO,[main],org.apache.hadoop.mapred.YarnChild,Executing with tokens:,3c5bb15c,Executing with tokens:
5,2015-10-17,15:38:04,168,INFO,[main],org.apache.hadoop.mapred.YarnChild,"Kind: mapreduce.job, Service: job_1445062781478_0011, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@1ebe6739)",adfa068c,"Kind: mapreduce.job, Service: job_1445062781478_0011, Ident: (org.apache.hadoop.mapreduce.security.token.JobTokenIdentifier@1ebe6739)"
6,2015-10-17,15:38:04,266,INFO,[main],org.apache.hadoop.mapred.YarnChild,Sleeping for 0ms before retrying again. Got null now.,42bce2da,Sleeping for 0ms before retrying again. Got null now.
7,2015-10-17,15:38:04,485,INFO,[main],org.apache.hadoop.mapred.YarnChild,mapreduce.cluster.local.dir for child: /tmp/hadoop-msrabi/nm-local-dir/usercache/msrabi/appcache/application_1445062781478_0011,5c9cca0e,mapreduce.cluster.local.dir for child: /tmp/hadoop-msrabi/nm-local-dir/usercache/msrabi/appcache/application_1445062781478_0011
8,2015-10-17,15:38:05,031,INFO,[main],org.apache.hadoop.conf.Configuration.deprecation,"session.id is deprecated. Instead, use dfs.metrics.session-id",39006874,"session.id is deprecated. Instead, use dfs.metrics.session-id"
9,2015-10-17,15:38:05,614,INFO,[main],org.apache.hadoop.yarn.util.ProcfsBasedProcessTree,ProcfsBasedProcessTree currently is supported only on Linux.,fc4324dd,ProcfsBasedProcessTree currently is supported only on Linux.
10,2015-10-17,15:38:05,634,INFO,[main],org.apache.hadoop.mapred.Task,Using ResourceCalculatorProcessTree : org.apache.hadoop.yarn.util.WindowsBasedProcessTree@236494a1,e629f321,Using ResourceCalculatorProcessTree : org.apache.hadoop.yarn.util.WindowsBasedProcessTree@236494a1
11,2015-10-17,15:38:05,810,INFO,[main],org.apache.hadoop.mapred.MapTask,Processing split: hdfs://msra-sa-41:9000/pageinput2.txt:671088640+134217728,0a0d6475,Processing split: hdfs://msra-sa-41:9000/pageinput2.txt:671088640+134217728
12,2015-10-17,15:38:05,866,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 0 kvi 26214396(104857584),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
13,2015-10-17,15:38:05,867,INFO,[main],org.apache.hadoop.mapred.MapTask,mapreduce.task.io.sort.mb: 100,599850bf,mapreduce.task.io.sort.mb: 100
14,2015-10-17,15:38:05,867,INFO,[main],org.apache.hadoop.mapred.MapTask,soft limit at 83886080,0cb5b599,soft limit at 83886080
15,2015-10-17,15:38:05,867,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 0; bufvoid = 104857600,db0c6791,bufstart = 0; bufvoid = 104857600
16,2015-10-17,15:38:05,867,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 26214396; length = 6553600,97159e80,kvstart = 26214396; length = 6553600
17,2015-10-17,15:38:05,874,INFO,[main],org.apache.hadoop.mapred.MapTask,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer,e7eee7f1,Map output collector class = org.apache.hadoop.mapred.MapTask$MapOutputBuffer
18,2015-10-17,15:38:11,561,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
19,2015-10-17,15:38:11,561,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 0; bufend = 48241717; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
20,2015-10-17,15:38:11,561,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 26214396(104857584); kvend = 17303312(69213248); length = 8911085/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
21,2015-10-17,15:38:11,561,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 57310469 kvi 14327612(57310448),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
22,2015-10-17,15:38:21,883,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 0,a79088ee,"Finished spill *{1,1}"
23,2015-10-17,15:38:21,886,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 57310469 kv 14327612(57310448) kvi 12124056(48496224),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
24,2015-10-17,15:38:28,276,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
25,2015-10-17,15:38:28,276,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 57310469; bufend = 677160; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
26,2015-10-17,15:38:28,276,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 14327612(57310448); kvend = 5412172(21648688); length = 8915441/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
27,2015-10-17,15:38:28,276,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 9745912 kvi 2436472(9745888),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
28,2015-10-17,15:38:36,657,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 1,a79088ee,"Finished spill *{1,1}"
29,2015-10-17,15:38:36,660,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 9745912 kv 2436472(9745888) kvi 243380(973520),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
30,2015-10-17,15:38:41,947,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
31,2015-10-17,15:38:41,948,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 9745912; bufend = 58001423; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
32,2015-10-17,15:38:41,948,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 2436472(9745888); kvend = 19743236(78972944); length = 8907637/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
33,2015-10-17,15:38:41,948,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 67070175 kvi 16767536(67070144),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
34,2015-10-17,15:38:50,989,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 2,a79088ee,"Finished spill *{1,1}"
35,2015-10-17,15:38:50,992,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 67070175 kv 16767536(67070144) kvi 14572400(58289600),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
36,2015-10-17,15:38:56,231,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
37,2015-10-17,15:38:56,231,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 67070175; bufend = 10445315; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
38,2015-10-17,15:38:56,231,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 16767536(67070144); kvend = 7854204(31416816); length = 8913333/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
39,2015-10-17,15:38:56,231,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 19514051 kvi 4878508(19514032),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
40,2015-10-17,15:39:05,723,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 3,a79088ee,"Finished spill *{1,1}"
41,2015-10-17,15:39:05,726,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 19514051 kv 4878508(19514032) kvi 2676468(10705872),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
42,2015-10-17,15:39:08,652,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
43,2015-10-17,15:39:08,653,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 19514051; bufend = 67765795; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
44,2015-10-17,15:39:08,653,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 4878508(19514032); kvend = 22184324(88737296); length = 8908585/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
45,2015-10-17,15:39:08,653,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 76834531 kvi 19208628(76834512),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
46,2015-10-17,15:39:19,683,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 4,a79088ee,"Finished spill *{1,1}"
47,2015-10-17,15:39:19,685,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 76834531 kv 19208628(76834512) kvi 17011572(68046288),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
48,2015-10-17,15:39:23,920,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
49,2015-10-17,15:39:23,920,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 76834531; bufend = 20216843; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
50,2015-10-17,15:39:23,920,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 19208628(76834512); kvend = 10297092(41188368); length = 8911537/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
51,2015-10-17,15:39:23,920,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 29285595 kvi 7321392(29285568),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
52,2015-10-17,15:39:33,622,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 5,a79088ee,"Finished spill *{1,1}"
53,2015-10-17,15:39:33,627,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 29285595 kv 7321392(29285568) kvi 5123212(20492848),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
54,2015-10-17,15:39:37,721,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
55,2015-10-17,15:39:37,721,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 29285595; bufend = 77486083; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
56,2015-10-17,15:39:37,721,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 7321392(29285568); kvend = 24614400(98457600); length = 8921393/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
57,2015-10-17,15:39:37,721,INFO,[main],org.apache.hadoop.mapred.MapTask,(EQUATOR) 86554835 kvi 21638704(86554816),084ff737,"(EQUATOR) *{1,1} kvi *{1,1}"
58,2015-10-17,15:39:47,693,INFO,[SpillThread],org.apache.hadoop.mapred.MapTask,Finished spill 6,a79088ee,"Finished spill *{1,1}"
59,2015-10-17,15:39:47,698,INFO,[main],org.apache.hadoop.mapred.MapTask,(RESET) equator 86554835 kv 21638704(86554816) kvi 19443444(77773776),c989d399,"(RESET) equator *{1,1} kv *{1,1} kvi *{1,1}"
60,2015-10-17,15:39:51,599,INFO,[main],org.apache.hadoop.mapred.MapTask,Starting flush of map output,0491d81f,Starting flush of map output
61,2015-10-17,15:39:51,599,INFO,[main],org.apache.hadoop.mapred.MapTask,Spilling map output,57552c89,Spilling map output
62,2015-10-17,15:39:51,599,INFO,[main],org.apache.hadoop.mapred.MapTask,bufstart = 86554835; bufend = 19548620; bufvoid = 104857600,5543903f,"bufstart = *{1,1} bufend = *{1,1} bufvoid = 104857600"
63,2015-10-17,15:39:51,600,INFO,[main],org.apache.hadoop.mapred.MapTask,kvstart = 21638704(86554816); kvend = 14653472(58613888); length = 6985233/6553600,be3f159e,"kvstart = *{1,1} kvend = *{1,1} length = *{1,1}"
64,2015-10-17,15:40:00,979,INFO,[main],org.apache.hadoop.mapred.MapTask,Finished spill 7,a79088ee,"Finished spill *{1,1}"
65,2015-10-17,15:40:00,996,INFO,[main],org.apache.hadoop.mapred.Merger,Merging 8 sorted segments,d3500d1c,Merging 8 sorted segments
66,2015-10-17,15:40:01,006,INFO,[main],org.apache.hadoop.mapred.Merger,"Down to the last merge-pass, with 8 segments left of total size: 288364572 bytes",35c20e64,"Down to the last merge-pass, with 8 segments left of total size: 288364572 bytes"
67,2015-10-17,15:40:28,570,INFO,[main],org.apache.hadoop.mapred.Task,Task:attempt_1445062781478_0011_m_000005_0 is done. And is in the process of committing,a669d0ae,Task:attempt_1445062781478_0011_m_000005_0 is done. And is in the process of committing
68,2015-10-17,15:40:28,620,INFO,[main],org.apache.hadoop.mapred.Task,Task 'attempt_1445062781478_0011_m_000005_0' done.,4c847726,Task 'attempt_1445062781478_0011_m_000005_0' done.
